period,title,company,description,skills
"Mar 2025 - Present","Senior Software Engineer","Yaklabs · Full-time","Contributing to a tech-driven, future-oriented platform at YakLabs (Tashkent, Uzbekistan). Focused on innovative projects and modern technologies including AI/ML integration, mobile development, and advanced DevOps practices.","['Python', 'Django', 'AWS', 'Docker', 'PostgreSQL', 'Redis', 'WebSocket', 'React Native', 'PyTorch', 'Grafana', 'Prometheus']"
"Oct 2024 - Apr 2025","Software Engineer","MegaDevs (Germany Company) · Full-time","Developed scalable web applications and microservices architecture. Led backend development initiatives and implemented DevOps practices for continuous integration and deployment.","['React', 'Node.js', 'TypeScript', 'Docker', 'Kubernetes', 'AWS', 'CI/CD']"
"2022 - Oct 2024","Backend Developer & AI Engineer","Freelance / Independent Projects","Specializing in microservices architecture, API development, and AI integration. Working on innovative projects with Python, Django, AWS, and machine learning technologies.","['Python', 'Django', 'FastAPI', 'AI APIs', 'Machine Learning', 'AWS', 'PostgreSQL']" 
